date,batter_id,batter_first,batter_last,pitcher_id,pitcher_first,pitcher_last,balls,strikes,pitch_sequence
2021-07-28,49,George Chelston,Springer,81,Tanner,Houck,1,2,SBSFS
2021-07-28,12,Xander Jan,Bogaerts,100,Steven Jakob,Matz,0,2,FCFS
2021-07-28,44,Teoscar Jose,Hernandez,81,Tanner,Houck,2,2,1SBBCS
2021-07-28,25,Robert Vernon,Dalbec,100,Steven Jakob,Matz,3,2,BC*BSBC
2021-07-28,2,Dustin Hunter,Renfroe,101,Patrick Brian,Murphy,1,2,CBFS
2021-07-28,25,Robert Vernon,Dalbec,101,Patrick Brian,Murphy,0,2,CF*S
2021-07-28,9,Julio Daniel,Martinez,102,Trent Edward,Thornton,1,2,FS*BS
2021-07-28,52,Randal Alexander,Grichuk,85,Matthew David,Barnes,1,2,.C*SBFC
2021-07-29,49,George Chelston,Springer,87,Eduardo Jose (Hernandez),Rodriguez,1,2,BFST
2021-07-29,53,Santiago Roman,Espinal,87,Eduardo Jose (Hernandez),Rodriguez,1,2,BFFS
2021-07-29,12,Xander Jan,Bogaerts,103,Hyun-Jin,Ryu,2,2,BBCCS
2021-07-29,50,Vladimir Jr.,Guerrero,87,Eduardo Jose (Hernandez),Rodriguez,0,2,SSFFS
2021-07-29,51,Marcus Andrew,Semien,87,Eduardo Jose (Hernandez),Rodriguez,1,2,FBFT
2021-07-29,45,Bo Joseph,Bichette,87,Eduardo Jose (Hernandez),Rodriguez,0,2,SSFF*S
2021-07-29,43,Franchy (Vargas),Cordero,103,Hyun-Jin,Ryu,2,2,TCBBT
2021-07-29,44,Teoscar Jose,Hernandez,87,Eduardo Jose (Hernandez),Rodriguez,2,2,SBCBC
2021-07-29,47,Cavan Thomas,Biggio,87,Eduardo Jose (Hernandez),Rodriguez,1,2,BSFFS
2021-07-29,9,Julio Daniel,Martinez,103,Hyun-Jin,Ryu,1,2,CBFS
2021-07-29,46,Reese Jackson,McGuire,87,Eduardo Jose (Hernandez),Rodriguez,1,2,FLBS
2021-07-29,43,Franchy (Vargas),Cordero,103,Hyun-Jin,Ryu,2,2,CBSBS
2021-07-29,49,George Chelston,Springer,68,Brandon Carlin,Workman,1,2,SBCS
2021-07-29,9,Julio Daniel,Martinez,103,Hyun-Jin,Ryu,0,2,CFS
2021-07-29,49,George Chelston,Springer,67,Darwinzon David,Hernandez,1,2,BCFS
2021-07-29,8,Alex Brady,Verdugo,104,Rafael Jose,Dolis,0,2,CFS
2021-07-29,25,Robert Vernon,Dalbec,105,Kirby,Snead,2,2,CBFFBC
2021-07-29,26,Michael Scott,Chavis,105,Kirby,Snead,1,2,BCFFC
2021-07-29,38,Jarren William,Duran,105,Kirby,Snead,1,2,SS.FBC
