game id*,date,balls*,strikes*,visiting team*,batting team*,res batter*,res batter* Last,res batter* First,res batter hand*,res pitcher*,res pitcher* Last,res pitcher* First,res pitcher hand*,pitch sequence
BOS202107282,2021-07-28,2,2,TOR,away,hernt002,Hernandez,Teoscar Jose,R,houct001,Houck,Tanner,R,1SBBCS
BOS202107282,2021-07-28,3,2,TOR,home,dalbb001,Dalbec,Robert Vernon,R,matzs001,Matz,Steven Jakob,L,BC*BSBC
BOS202107282,2021-07-28,1,2,TOR,home,renfh001,Renfroe,Dustin Hunter,R,murpp001,Murphy,Patrick Brian,R,CBFS
BOS202107282,2021-07-28,0,2,TOR,home,dalbb001,Dalbec,Robert Vernon,R,murpp001,Murphy,Patrick Brian,R,CF*S
BOS202107282,2021-07-28,1,2,TOR,home,martj006,Martinez,Julio Daniel,R,thort002,Thornton,Trent Edward,R,FS*BS
BOS202107282,2021-07-28,1,2,TOR,away,gricr001,Grichuk,Randal Alexander,R,barnm001,Barnes,Matthew David,R,.C*SBFC
BOS202107290,2021-07-29,1,2,TOR,away,sprig001,Springer,George Chelston,R,rodre004,Rodriguez,Eduardo Jose (Hernandez),L,BFST
BOS202107290,2021-07-29,1,2,TOR,away,espis001,Espinal,Santiago Roman,R,rodre004,Rodriguez,Eduardo Jose (Hernandez),L,BFFS
BOS202107290,2021-07-29,2,2,TOR,home,bogax001,Bogaerts,Xander Jan,R,ryu-h001,Ryu,Hyun-Jin,L,BBCCS
BOS202107290,2021-07-29,0,2,TOR,away,guerv002,Guerrero,Vladimir Jr.,R,rodre004,Rodriguez,Eduardo Jose (Hernandez),L,SSFFS
BOS202107290,2021-07-29,1,2,TOR,away,semim001,Semien,Marcus Andrew,R,rodre004,Rodriguez,Eduardo Jose (Hernandez),L,FBFT
BOS202107290,2021-07-29,0,2,TOR,away,bichb001,Bichette,Bo Joseph,R,rodre004,Rodriguez,Eduardo Jose (Hernandez),L,SSFF*S
BOS202107290,2021-07-29,2,2,TOR,home,cordf003,Cordero,Franchy (Vargas),L,ryu-h001,Ryu,Hyun-Jin,L,TCBBT
BOS202107290,2021-07-29,2,2,TOR,away,hernt002,Hernandez,Teoscar Jose,R,rodre004,Rodriguez,Eduardo Jose (Hernandez),L,SBCBC
BOS202107290,2021-07-29,1,2,TOR,away,biggc002,Biggio,Cavan Thomas,L,rodre004,Rodriguez,Eduardo Jose (Hernandez),L,BSFFS
BOS202107290,2021-07-29,1,2,TOR,home,martj006,Martinez,Julio Daniel,R,ryu-h001,Ryu,Hyun-Jin,L,CBFS
BOS202107290,2021-07-29,1,2,TOR,away,mcgur002,McGuire,Reese Jackson,L,rodre004,Rodriguez,Eduardo Jose (Hernandez),L,FLBS
BOS202107290,2021-07-29,2,2,TOR,home,cordf003,Cordero,Franchy (Vargas),L,ryu-h001,Ryu,Hyun-Jin,L,CBSBS
